Cliente_Cod,Producto_Cod,Min,Max
CGEN00068,TIQ0100,1.0,100.0
CMXM00380,TIQ1130,1.2,9.0
CWAL00091,TIQ0310,1.0,11.95
CMAX00243,TIQ0310,3.0,15.0
CMAX00283,TIQ0310,1.1,10.0
CMXM00041,TIQ0310,2.0,9.399999999999991
CMXM00043,TIQ0310,6.6000000000000005,27.39999999999999
CWAL00051,TIQ0310,2.0,8.0
CPQM0001,REA0405,5.0,25.0
CGEN00004,TIQ0200,2.9,6.8
CGEN00011,TIQ0200,3.0,12.7
CGEN00068,TIQ0200,0.5,16.75999999999999
CWAL00070,TIQ0310,1.0,18.4
CWAL00083,TIQ0320,2.0,10.0
CMAX00063,TIQ0320,0.1000000000000032,18.0
CMAX00293,TIQ0320,2.4000000000000004,20.0
CMXM00293,TIQ0320,2.0,8.0
CMXM00063,TIQ0320,2.0,10.0
CWAL00071,TIQ0100,6.0,40.0
CWAL00091,TIQ0100,3.2100000000000004,12.6
CMXM00041,TIQ0100,6.0,18.0
CWAL00051,TIQ0100,6.0,23.745
CGEN00068,TIQ1750,0.5,32.27499999999999
CWAL00092,CSR1502,2.15,3.85
CWAL00001,CSR1502,2.865,18.435
CMXM00382,CSR1502,2.2,4.0
CWAL00152,TIQ0705,6.9,20.62
CWAL00082,TIQ0705,4.01,4.19
CWAL00091,TIQ0705,3.0,12.0
CMAX00243,TIQ0705,1.3000000000000007,17.099999999999966
CMXM00043,TIQ0705,3.0,42.0
CWAL00051,TIQ0705,3.0,17.699999999999932
CWAL00052,TIQ0705,4.55,14.45
CMXM00063,TIQ0705,2.0,24.0
CGEN00068,TIQ0705,0.5,10.899999999999864
CGEN00011,TIQ0703,2.255,6.92
CGEN00068,TIQ0703,1.0,24.0
CGEN00068,TIQ0101,0.5,41.0
CWAL00090,TIQ0125,2.5,17.5
CWAL00050,TIQ0125,2.5,22.5
CGEN00068,TIQ2800,1.0,48.569999999999894
CMXM00260,TIQ2825,2.5,4.124999999999998
CWAL00160,TIQ2825,2.5,15.499999999999991
CMXM00040,TIQ2825,2.5,5.0
CMXM00410,TIQ2825,2.5,22.749999999999968
CMXM00250,TIQ1425,2.325,10.0
CMXM00240,TIQ1425,2.5,10.0
CMAX00110,TIQ1425,2.5,10.0
CRES00058,TIQ2800,21.775,78.85
CRES00003,TIQ0320,1.6500000000000004,6.0
CGEN00068,TIQ0102,1.0,35.0
CPAN00028,TIQ2241,1.0,4.0
CPAN00028,TIQ0102,4.0,8.0
GEN00071,TIQ1420,2.0,8.399999999999999
CRES00050,TIQ0300,30.555,34.3
CPAN00050,AMS0940,1.0,3.0
CPAN00050,TIQ1380,4.0,40.0
CPAN00050,TIQ0705,3.0,6.0
CPAN00044,TIQ1380,3.0,30.0
CRES00049,TIQ1405,20.0,60.0
CRES00014,TIQ0320,10.0,60.0
CGEN00003,TIQ0320,2.0,4.0
CGEN00068,TIQ1371,1.0,12.0
CMAY00001,TIQ1210,1080.0,4320.0
CGEN00067,TIQ0100,3.0,48.33
CWAL00060,TIQ1430,3.0,40.0
CMXM00250,TIQ1430,3.0,10.0
CMXM00240,TIQ1430,3.0,20.0
CMAX00110,TIQ1430,3.0,30.0
CGEN00058,AMS0912,5.6120699999999974,66.30000000000001
CWAL00060,TIQ2303,3.0,20.0
CWAL00060,TIQ1130,0.0,20.399999999999988
CMXM00170,TIQ1130,1.2,12.0
CMXM00090,TIQ1130,0.9,13.0
CMXM00250,TIQ1130,0.3,3.0
CMXM00360,TIQ1130,0.6,15.0
CWAL00070,TIQ0325,2.5,5.0
CMXM00360,TIQ0325,2.325,5.124999999999997
CWAL00060,TIQ0310,2.0,12.0
CWAL00060,TIQ0303,3.0,40.0
CMAX00040,TIQ0303,3.0,30.0
CMXM00350,TIQ0303,3.0,10.0
CMXM00360,TIQ0303,3.0,20.0
CMXM00390,TIQ0303,3.0,23.69999999999993
CMAX00490,TIQ0303,3.0,20.0
CMXM00240,TIQ0303,3.0,10.0
CMAX00110,TIQ0303,3.0,30.0
CMXM00240,TIQ0352,1.975,4.249999999999998
CMXM00170,TIQ0403,3.0,10.0
CMXM00090,TIQ0403,3.0,10.0
CMXM00390,TIQ0403,3.0,20.0
CMAX00490,TIQ0403,2.370000000000001,20.0
CMAX00110,TIQ0403,0.0,20.0
CGEN00058,TIQ0303,11.775000000000002,104.29999999999997
CWAL00060,TIQ0150,10.0,55.0
CMXM00170,TIQ0150,5.0,14.500000000000027
CMXM00390,TIQ0150,5.0,30.0
CMAX00490,TIQ0150,5.0,30.0
CMAX00110,TIQ0150,5.0,20.0
CWAL00060,TIQ0103,3.0,25.0
CWAL00070,TIQ0103,1.5,20.0
CMXM00350,TIQ0103,1.5,10.0
CMXM00390,TIQ0103,1.5,15.0
CMAX00110,TIQ0103,1.5,15.0
CGEN00068,AMS0971,1.0,6.0
CGEN00068,TIQ2241,1.0,4.0
CMXM00170,TIQ0225,2.5,12.5
CMXM00390,TIQ0225,2.5,14.375
CAUT00004,TIQ2371,15.0,20.0
CWAL00060,TIQ0250,5.0,69.0
CMAX00050,TIQ0250,0.2750000000000001,20.0
CMAX00040,TIQ0250,5.0,20.0
CWAL00070,TIQ0250,5.0,96.99999999999987
CMXM00090,TIQ0250,5.0,45.30000000000001
CMAX00490,TIQ0250,10.0,43.50000000000002
CMXM00240,TIQ0250,5.0,20.0
CMAX00110,TIQ0250,5.0,30.0
CAUT00014,TIQ2371,10.4,20.0
CVIN00003,TIQ2371,3.0,10.0
CVIN00004,TIQ2371,0.0,15.0
CVIN00012,TIQ2371,5.0,15.0
CRES00001,TIQ0300,6.12,13.44
CWAL00060,TIQ1750,1.2999999999999998,38.200000000000024
CMAX00050,TIQ1750,1.0,17.0
CMXM00170,TIQ1750,1.0,15.0
CMXM00090,TIQ1750,0.9249999999999998,9.075000000000003
CMXM00250,TIQ1750,0.0,5.5
CMXM00360,TIQ1750,1.5,16.0
CMXM00390,TIQ1750,1.0,39.25
CMAX00490,TIQ1750,1.9,17.899999999999988
CMXM00240,TIQ1750,0.5,5.099999999999998
CMAX00110,TIQ1750,1.0,6.0
CRES00041,TIQ0320,10.0,30.0
CRES00041,TIQ0300,4.55,15.9
CMAX00040,TIQ1750,1.0,15.0
CWAL00060,TIQ0525,0.0,10.0
CMAX00050,TIQ0525,0.0,10.0
CMAX00040,TIQ0525,0.20000000000000107,10.0
CMXM00090,TIQ0525,2.5,10.0
CMXM00360,TIQ0525,2.5,10.0
CMAX00110,TIQ0525,0.0,10.0
CMAX00043,TIQ2303,2.6,16.999999999999993
CMAX00004,TIQ2303,8.0,20.0
CMXM00093,TIQ2303,4.0,14.0
CMXM00253,TIQ2303,4.0,12.0
CMXM00363,TIQ2303,4.0,16.0
CMXM00243,TIQ2303,10.0,20.0
CGEN00063,TIQ0100,2.0,6.0
CGEN00004,TIQ0100,2.85,6.4
CGEN00094,TIQ0100,5.97,15.39
CGEN00011,TIQ0100,6.0,31.3
CMAX00004,TIQ0310,2.0,10.199999999999989
CMXM00093,TIQ0310,2.0,8.0
CMXM00253,TIQ0310,3.8,18.0
CMXM00363,TIQ0310,2.0,11.299999999999995
CGEN00056,TIQ0100,3.0,9.5
CGEN00094,TIQ0200,4.2185,12.0355
CMAX00043,TIQ0320,1.0,10.0
CMXM00243,TIQ0320,1.95,12.199999999999989
CMXM00073,TIQ0320,1.0,20.0
CWAL00061,TIQ0100,12.0,48.1
CMXM00073,TIQ0100,12.745,18.955
CGEN00063,TIQ0200,1.9,6.0
CGEN00068,TIQ0403,0.3,6.0
CWAL00072,CSR1502,4.2,7.8
CWAL00061,TIQ0705,3.955,20.0
CMAX00043,TIQ0705,1.4000000000000004,9.199999999999989
CMXM00093,TIQ0705,3.0,8.149999999999991
CMXM00172,TIQ0705,2.1,3.0
CMXM00253,TIQ0705,1.0,12.0
CMXM00243,TIQ0705,5.0,18.0
CMXM00170,TIQ0125,2.5,8.999999999999995
CGEN00056,TIQ0101,0.4,6.0
CGEN00058,TIQ0101,4.0600000000000005,150.0
CWAL00060,TIQ2825,2.5,15.624999999999993
CMXM00390,TIQ2825,2.5,5.0
CMXM00230,TIQ1425,2.5,10.0
CMXM00380,TIQ1425,2.5,12.624999999999993
CMAX00020,TIQ1425,2.5,10.0
CMAX00510,TIQ1425,1.95,15.499999999999991
CMXM00090,TIQ1425,2.5,10.0
CWAL00030,TIQ1425,2.5,10.0
CPQM0001,REA0940,7.0,39.89999999999992
CRES00021,TIQ0320,4.0,14.0
CRES00022,TIQ0320,4.0,14.0
CRES00024,TIQ0320,10.0,27.59999999999999
CRES00060,TIQ0100,3.0,6.7512500000000015
CRES00054,TIQ0300,12.1,41.24499999999999
CPAN00035,TIQ0403,0.6,2.0
CGEN00073,TIQ0200,0.75,3.295
CRES00016,TIQ0300,5.0,40.0
CRES00016,TIQ0100,11.6,60.0
CRES00016,TIQ0705,2.0,13.0
CRES00055,TIQ0300,15.55,68.40899999999999
CGEN00067,AMS0971,2.1,31.6
CGEN00067,TIQ0300,2.0,54.49999999999999
CGEN00067,TIQ0200,2.9160000000000004,11.8
CGEN00067,TIQ1750,2.55,4.675000000000002
CGEN00067,TIQ0303,6.4,34.39999999999999
CGEN00067,TIQ1271,1.2600000000000002,29.519435
CGEN00067,TIQ2371,1.0,4.0
CGEN00067,TIQ1130,0.96,4.337999999999999
CGEN00067,CSR1502,3.0,40.0
CGEN00067,TIQ0403,0.6,5.2799999999999985
CGEN00067,TIQ0705,6.0,27.399999999999977
CGEN00067,TIQ0101,5.0,400.0
CGEN00067,TIQ2800,2.6,8.625
CGEN00067,TIQ0320,2.0,50.0
CGEN00067,TIQ0351,1.0,2.0
CMXM00230,TIQ1430,3.0,20.0
CMXM00110,TIQ1430,3.0,20.0
CMAX00260,TIQ1430,3.0,20.0
CMAX00020,TIQ1430,3.0,20.0
CMAX00470,TIQ1430,3.0,10.0
CMXM00130,TIQ1430,3.0,10.0
CMXM00350,TIQ1430,3.0,10.0
CWAL00080,TIQ1430,3.0,20.0
CMXM00290,TIQ1430,3.6000000000000005,40.0
CMXM00090,TIQ1430,3.0,20.0
CWAL00100,TIQ1430,3.0,14.499999999999954
CSRT00001,TIQ1400,1.0,5.899999999999997
CSRT00001,TIQ0500,1.09,4.1
CSRT00001,TIQ0650,2.0,14.0
CSRT00001,TIQ1130,0.9,5.599999999999994
CWAL00010,AMS0912,13.9965,14.28
CPQM0001,REA1040,6.825000000000001,28.34999999999998
CMXM00230,TIQ1130,1.0,8.349999999999994
CMXM00110,TIQ1130,0.3,5.849999999999994
CMXM00370,TIQ1130,0.3,5.0
CWAL00010,TIQ1130,1.5,16.5
CMXM00010,TIQ1130,0.9,11.0
CMXM00390,TIQ1130,0.6,8.5
CMXM00310,TIQ1130,1.2,13.074999999999989
CMXM00290,TIQ1130,1.8100000000000005,19.94999999999999
CWAL00030,TIQ1130,0.6,14.0
CWAL00100,TIQ1130,0.3,6.5
CSRT00001,TIQ0105,1.92,6.2
CSRT00001,TIQ0403,0.904,1.2299200000000001
CSRT00001,TIQ0250,4.055,30.90000000000001
CSRT00001,TIQ2850,1.035,3.1125
CWAL00030,TIQ0325,2.5,6.912499999999998
CWAL00100,TIQ0325,2.5,6.25
CWAL00010,TIQ0310,1.0,12.2
CMXM00230,TIQ0303,3.0,10.0
CMXM00280,TIQ0303,3.0,20.0
CMXM00110,TIQ0303,3.0,20.0
CMAX00260,TIQ0303,3.0,40.0
CMXM00370,TIQ0303,3.0,10.0
CMAX00020,TIQ0303,3.0,20.0
CMAX00470,TIQ0303,3.0,30.0
CMXM00130,TIQ0303,3.0,10.0
CMAX00510,TIQ0303,3.0,20.0
CWAL00010,TIQ0303,3.0,40.0
CMXM00310,TIQ0303,3.0,30.0
CMXM00290,TIQ0303,4.425000000000002,50.0
CMXM00200,TIQ0303,3.0,10.0
CMXM00230,TIQ0352,2.5,5.0
CWAL00010,TIQ0352,2.5,8.375
CMAX00020,TIQ0403,3.0,10.0
CMXM00130,TIQ0403,3.0,10.0
CMXM00010,TIQ0403,3.0,20.0
CWAL00080,TIQ0403,3.0,20.0
CMXM00290,TIQ0403,3.0,50.0
CMXM00230,TIQ0150,5.0,20.0
CMXM00280,TIQ0150,5.0,40.0
CMXM00380,TIQ0150,5.0,30.0
CWAL00150,TIQ0150,9.0,60.0
CMAX00260,TIQ0150,5.0,20.0
CMAX00020,TIQ0150,5.0,19.49999999999996
CMXM00140,TIQ0150,5.0,30.0
CMAX00310,TIQ0150,0.0,10.0
CMAX00510,TIQ0150,5.0,10.0
CMXM00350,TIQ0150,5.0,20.0
CMXM00200,TIQ0150,5.0,20.0
CSRT00001,TIQ0102,0.8,15.0
CMXM00230,TIQ0103,1.5,10.0
CMXM00370,TIQ0103,1.5,7.2499999999999964
CMAX00020,TIQ0103,1.5,10.0
CMAX00470,TIQ0103,1.5,10.0
CMXM00130,TIQ0103,1.5,5.0
CMAX00510,TIQ0103,1.5,5.0
CWAL00030,TIQ0103,1.5,15.0
CWAL00100,TIQ0103,1.5,10.0
CSRT00001,TIQ2325,1.05,1.95
CMXM00230,TIQ0225,4.0,33.5
CMXM00280,TIQ0225,2.5,22.5
CWAL00150,TIQ0225,2.5,28.374999999999996
CMXM00250,TIQ0225,2.5,7.999999999999997
CMXM00290,TIQ0225,4.625,31.12499999999999
CMXM00200,TIQ0225,2.5,12.5
CMXM00090,TIQ0225,2.5,24.75
CPQM0001,REA0150,5.0,34.74999999999994
CGEN00056,TIQ1271,0.45,3.625
CAUT00003,TIQ2371,5.0,15.0
CMXM00230,TIQ0250,10.0,62.5
CMXM00280,TIQ0250,10.0,80.0
CMXM00380,TIQ0250,5.0,70.0
CWAL00150,TIQ0250,10.0,80.0
CMAX00020,TIQ0250,5.0,20.0
CMAX00470,TIQ0250,5.0,30.0
CMXM00130,TIQ0250,5.0,10.0
CMAX00310,TIQ0250,0.0,10.0
CMXM00010,TIQ0250,5.0,60.0
CMXM00250,TIQ0250,0.0,10.999999999999943
CSRT00001,TIQ1410,0.905,3.575
CPAN00006,TIQ2371,10.0,17.5
CPQM0001,REA0105,2.5,15.0
CMXM00280,TIQ1750,2.0,22.0
CMXM00380,TIQ1750,1.5,19.0
CMXM00110,TIQ1750,0.5,5.949999999999997
CMAX00260,TIQ1750,0.5,11.75
CMAX00020,TIQ1750,1.4,8.049999999999986
CMAX00470,TIQ1750,0.7250000000000001,9.149999999999991
CMXM00130,TIQ1750,0.3500000000000001,6.450000000000006
CMXM00140,TIQ1750,1.65,20.0
CMAX00310,TIQ1750,0.5,3.1499999999999995
CMAX00510,TIQ1750,0.5,5.0
CWAL00010,TIQ1750,1.5,32.44999999999997
CMXM00010,TIQ1750,1.5,17.0
CMXM00200,TIQ1750,1.0,8.0
CWAL00100,TIQ1750,1.0,14.949999999999996
CPQM0001,REA0550,2.5,10.0
CRES00059,TIQ0320,6.0,10.0
CSRT00001,TIQ0320,1.2000000000000002,4.1725
CMXM00230,TIQ2825,2.5,5.0
CWAL00100,TIQ2825,2.5,14.087499999999993
CMXM00202,AMS0912,3.205,3.295
CMXM00092,AMS0912,4.03,4.93
CWAL00032,AMS0912,2.74,5.26
CWAL00012,AMS0912,8.504999999999999,13.995
CMXM00012,AMS0912,0.955,1.945
CMXM00230,TIQ1750,1.2000000000000002,17.199999999999992
CMXM00230,TIQ0525,2.5,10.0
CMXM00280,TIQ0525,2.5,10.0
CMAX00260,TIQ0525,1.9750000000000012,10.0
CMXM00370,TIQ0525,0.0,10.0
CMAX00020,TIQ0525,2.5,10.0
CMXM00130,TIQ0525,2.5,10.0
CMXM00140,TIQ0525,2.5,10.0
CMAX00310,TIQ0525,0.0,10.0
CMAX00510,TIQ0525,2.5,10.0
CMXM00390,TIQ0525,2.5,10.0
CMXM00290,TIQ0525,2.5,10.0
CWAL00030,TIQ0525,2.5,18.999999999999915
CMXM00383,TIQ2303,6.0,19.399999999999988
CWAL00151,TIQ2303,4.0,16.0
CWAL00153,TIQ2303,6.0,24.0
CMXM00113,TIQ2303,6.0,12.0
CMAX00263,TIQ2303,10.0,34.0
CMXM00373,TIQ2303,4.0,12.0
CMAX00020,TIQ2303,4.5,24.0
CMXM00143,TIQ2303,2.0,10.0
CWAL00013,TIQ2303,4.0,20.0
CMXM00013,TIQ2303,5.2,20.0
CMXM00353,TIQ2303,4.0,12.0
CMXM00313,TIQ2303,8.0,23.46
CWAL00033,TIQ2303,4.0,14.0
CPQM0001,REA0305,10.0,80.0
CWAL00011,TIQ0310,6.0,24.0
CMXM00013,TIQ0310,3.1000000000000005,20.0
CMXM00353,TIQ0310,1.0,10.0
CWAL00033,TIQ0310,2.0,12.199999999999989
CWAL00103,TIQ0310,4.0,40.0
CMXM00233,TIQ0320,1.0,4.0
CMXM00383,TIQ0320,2.0,14.0
CWAL00153,TIQ0320,3.0,15.0
CMXM00113,TIQ0320,4.0,32.399999999999984
CMAX00263,TIQ0320,1.0,8.0
CMXM00373,TIQ0320,2.95,12.0
CMAX00020,TIQ0320,12.0,38.6
CMAX00473,TIQ0320,1.0,3.250000000000004
CMXM00313,TIQ0320,1.0,11.199999999999989
CWAL00151,TIQ0100,12.0,41.68
CWAL00011,TIQ0100,6.155,24.270000000000003
CWAL00014,TIQ0100,0.0,27.0
CWAL00081,TIQ0100,6.185000000000002,35.3
CWAL00101,TIQ0100,6.0,17.549999999999994
CMIN00003,TIQ0200,3.0,6.68
CMXM00202,CSR1502,1.05,1.95
CMXM00092,CSR1502,2.0,3.0
CWAL00012,CSR1502,7.06,8.139999999999999
CMXM00312,CSR1502,4.115,9.785
CWAL00151,TIQ0705,12.0,50.0
CWAL00153,TIQ0705,3.0,40.0
CMXM00113,TIQ0705,1.4000000000000004,56.79999999999996
CMAX00263,TIQ0705,2.95,12.199999999999989
CMXM00373,TIQ0705,3.0,18.0
CMXM00143,TIQ0705,2.0,11.899999999999993
CWAL00012,TIQ0705,3.0,5.0
CWAL00014,TIQ0705,0.0,40.0
CMXM00013,TIQ0705,2.45,24.0
CMXM00352,TIQ0705,1.1,2.9
CWAL00081,TIQ0705,6.0,36.0
CMXM00293,TIQ0705,1.4000000000000004,6.2
CWAL00033,TIQ0705,3.0,16.0
CWAL00031,TIQ0705,2.0,12.0
CWAL00101,TIQ0705,2.0,12.0
CGEN00011,TIQ0705,3.0,15.0
CMXM00230,TIQ0125,2.5,10.875
CMXM00280,TIQ0125,2.5,16.25
CMXM00380,TIQ0125,2.5,7.5
CMXM00010,TIQ0125,2.5,7.5
CMXM00390,TIQ0125,2.5,7.5
CMXM00290,TIQ0125,2.5,20.249999999999996
CMIN00003,TIQ0112,1.25,25.8
CMXM00280,TIQ2825,2.5,10.875
CWAL00010,TIQ2825,2.5,7.999999999999997
CMXM00310,TIQ2825,2.5,12.625000000000002
CMXM00200,TIQ2825,2.5,7.5
CMAX00360,TIQ1425,2.5,10.0
CMAX00340,TIQ1425,2.425,10.0
CMXM00180,TIQ1425,2.5,10.0
CWAL00090,TIQ1425,2.5,10.0
CMAX00380,TIQ1425,2.5,11.999999999999993
CMAX00030,TIQ1425,2.5,16.999999999999993
CMXM00020,TIQ1425,2.5,10.0
CMGS00028,TIQ1430C,2.0,8.399999999999999
CMAX00183,TIQ0320,3.15,5.85
CMAX00183,TIQ0705,2.05,2.95
CRES00071,TIQ0102,4.300000000000002,16.0
CRES00071,TIQ0100,2.88,9.139999999999997
CRES00071,TIQ0705,6.0,24.0
CRES00071,TIQ2800,2.5,7.25
CRES00062,TIQ0100,5.550000000000002,13.2
CRES00020,TIQ0320,4.6000000000000005,17.39999999999999
CPAN00042,TIQ1380,2.0,80.0
CPAN00042,TIQ0320,1.0,10.0
CPAN00042,TIQ0705,2.0,6.0
CPAN00045,AMS0940,1.0,4.0
CPAN00045,TIQ1380,3.0,90.0
CPAN00045,TIQ0705,2.0,6.0
CPAN00051,TIQ1380,1.0,20.0
CRES00030,TIQ0705,5.95,26.099999999999994
CRES00033,TIQ2371,1.0,4.0
CRES00033,TIQ0705,10.0,20.0
CPAN00050,TIQ0320,2.0,4.0
CMAX00320,TIQ1430,3.0,10.0
CMAX00340,TIQ1430,3.0,10.599999999999994
CMAX00380,TIQ1430,3.0,20.0
CMXM00360,TIQ1430,3.0,20.0
CMAX00350,TIQ1430,3.0,20.0
CMAX00030,TIQ1430,3.0,20.0
